NomeMusicas;Tempo
Circuladô de Fulô - É Proibido Cochilar.wav;2,18
Dominguinhos - Baião Caçula.wav;2,241
Trio Forrozão - De Tamanco Mulher.wav;2,2775
Trio Dona Zefa - Baião Jovem.wav;2,328
Trio Dona Zefa - Canto do Sabiá.wav;2,4085
Trio Bastião - Tem Problema Não.wav;2,412
Trio Dona Zefa - Você vai se Machucar.wav;2,476
Falamansa - Avisa (Ao Vivo).wav;2,4855
Os 3 do Nordeste - Alambique de Barro (ao vivo).wav;2,4895
Trio Cangaço - Cigano Terrorista.wav;2,4912
Genaro - Esconderijo do Amor.wav;2,4985
Trio Dona Zefa - Ta Esquentando.wav;2,527
Trio Dona Zefa - Briga de Artista.wav;2,528
Trio Dona Zefa - Baioneiro Gonzagão.wav;2,5805
Dona Zaíra - Baião de Respeito.wav;2,665
Falamansa - Xote dos Milagres (ao vivo).wav;2,693
Dominguinhos - Desilusão.wav;2,725
Trio Dona Zefa - Produto Nacional.wav;2,7335
Bicho de Pé - Asas.wav;2,7505
Trio Dona Zefa - Vida Boa Danada.wav;2,762
Bicho de Pé - Anjo da Guarda Noturno.wav;2,8485
Os 3 Cangaceiros - Amanhecer.wav;2,8975
Balança Eu - Baião.wav;2,906
Falamansa - 100 anos.wav;2,908
Estakazero - Encosta n'Eu.wav;3,0025
Black - Bata a Porta.wav;3,085
Alcalyno - Lilith.wav;3,139
Falamansa - Medo de Escuro.wav;3,1635
Circuladô de Fulô - Vem me Ver.wav;3,164
Falamansa - Xote Universitario.wav;3,2015
Black e Bárbara Greco - Acalanto.wav;3,3325
Bicho de Pé - Eu e Você.wav;3,35
Forrueiros - Como Todo Amor.wav;3,428
Forró Massapê - Nossos Olhos.wav;3,431
Black - Casinha Pronta.wav;3,5045
Forrueiros - Feitiço da Lua.wav;3,589
Circuladô de Fulô - Flor de Lis.wav;3,7845
